Date,Visitor,Visitor Score,Home Team,Home Score,Line
08/29/2013,North Carolina,10,South Carolina,27,13.0
08/29/2013,Nevada-Las Vegas,23,Minnesota,51,13.5
08/29/2013,Tulsa,7,Bowling Green,34,3.0
08/29/2013,Akron,7,U-C-F,38,24.0
08/29/2013,Utah State,26,Utah,30,1.0
08/29/2013,Mississippi,39,Vanderbilt,35,-3.5
08/29/2013,Rutgers,51,Fresno State,52,10.5
08/29/2013,Southern Cal,30,Hawaii,13,-24.5
08/29/2013,Sacramento State,0,San Jose State,24, 
08/29/2013,Liberty,10,Kent State,17, 
08/29/2013,Presbyterian,7,Wake Forest,31, 
08/29/2013,Illinois State,28,Ball State,51, 
08/29/2013,Indiana State,35,Indiana,73, 
08/29/2013,Southern Utah,22,South Alabama,21, 
08/29/2013,Towson,33,Connecticut,18, 
08/29/2013,Western Carolina,24,Middle Tennessee,45, 
08/29/2013,Jackson State,7,Tulane,34, 
08/30/2013,Western Michigan,13,Michigan State,26,27.5
08/30/2013,Florida Atlantic,6,Miami-Florida,34,31.5
08/30/2013,Texas Tech,41,S-M-U,23,-4.5
08/30/2013,Morgan State,12,Army,28, 
08/30/2013,Samford,31,Georgia State,21, 
08/30/2013,North Dakota St,24,Kansas State,21, 
08/30/2013,Southern Univ,13,Houston,62, 
08/30/2013,Northern Arizona,0,Arizona,35, 
08/31/2013,Massachusetts,0,Wisconsin,45,43.0
08/31/2013,Central Michigan,9,Michigan,59,31.0
08/31/2013,Buffalo,20,Ohio State,40,35.0
08/31/2013,Louisiana Tech,14,No Carolina State,40,14.5
08/31/2013,Florida Intl,10,Maryland,43,21.0
08/31/2013,Northern Illinois,30,Iowa,27,3.0
08/31/2013,Temple,6,Notre Dame,28,28.0
08/31/2013,Brigham Young,16,Virginia,19,-3.0
08/31/2013,Alabama,35,Virginia Tech,10,-22.5
08/31/2013,U-A-B,31,Troy,34,3.5
08/31/2013,Purdue,7,Cincinnati,42,11.0
08/31/2013,Kentucky,26,Western Kentucky,35,-4.5
08/31/2013,Miami-Ohio,14,Marshall,52,21.0
08/31/2013,Mississippi State,3,Oklahoma State,21,13.0
08/31/2013,UL-Monroe,0,Oklahoma,34,21.5
08/31/2013,Texas State,22,Southern Miss,15,9.0
08/31/2013,New Mexico State,7,Texas,56,43.5
08/31/2013,Rice,31,Texas A+M,52,30.0
08/31/2013,Toledo,6,Florida,24,22.0
08/31/2013,UL-Lafayette,14,Arkansas,34,10.0
08/31/2013,Washington State,24,Auburn,31,14.0
08/31/2013,Idaho,6,North Texas,40,17.0
08/31/2013,Penn State,23,Syracuse,17,-9.0
08/31/2013,Wyoming,34,Nebraska,37,31.0
08/31/2013,Texas-San Antonio,21,New Mexico,13,4.0
08/31/2013,Georgia,35,Clemson,38,-3.0
08/31/2013,Louisiana State,37,Texas Christian,27,-6.0
08/31/2013,Boise State,6,Washington,38,4.5
08/31/2013,Nevada-Reno,20,U.C.L.A.,58,21.0
08/31/2013,Northwestern,44,California,30,-6.0
08/31/2013,Arkansas-Pine Bluff,11,Arkansas State,62, 
08/31/2013,Colgate,13,Air Force,38, 
08/31/2013,Elon,0,Georgia Tech,70, 
08/31/2013,Murray State,14,Missouri,58, 
08/31/2013,Austin Peay,0,Tennessee,45, 
08/31/2013,Southern Illinois,34,Illinois,42, 
08/31/2013,Villanova,14,Boston College,24, 
08/31/2013,William + Mary,17,West Virginia,24, 
08/31/2013,No Carolina Central,0,Duke,45, 
08/31/2013,Nicholls State,3,Oregon,66, 
08/31/2013,Eastern Washington,49,Oregon State,46, 
08/31/2013,Howard,24,Eastern Michigan,34, 
08/31/2013,McNeese State,53,South Florida,21, 
08/31/2013,Old Dominion,38,East Carolina,52, 
08/31/2013,Wofford,3,Baylor,69, 
08/31/2013,Eastern Illinois,40,San Diego State,19, 
08/31/2013,Northern Iowa,28,Iowa State,20, 
09/01/2013,Ohio,7,Louisville,49,21.0
09/01/2013,Colorado,41,Colorado State,27,3.0
09/02/2013,Florida State,41,Pittsburgh,13,-12.5
09/05/2013,Florida Atlantic,13,East Carolina,31,21.0
09/05/2013,Sacramento State,0,Arizona State,55, 
09/06/2013,Wake Forest,10,Boston College,24,3.0
09/06/2013,U-C-F,38,Florida Intl,0,-26.0
09/07/2013,Florida,16,Miami-Florida,21,-3.5
09/07/2013,Miami-Ohio,7,Kentucky,41,18.0
09/07/2013,South Florida,6,Michigan State,21,23.0
09/07/2013,Oklahoma State,56,Texas-San Antonio,35,-30.0
09/07/2013,Houston,22,Temple,13,-3.5
09/07/2013,North Texas,21,Ohio,27,4.0
09/07/2013,Middle Tennessee,20,North Carolina,40,20.0
09/07/2013,Cincinnati,17,Illinois,45,-9.5
09/07/2013,West Virginia,7,Oklahoma,16,22.0
09/07/2013,South Carolina,30,Georgia,41,3.5
09/07/2013,San Diego State,7,Ohio State,42,29.5
09/07/2013,Utah State,52,Air Force,20,-9.5
09/07/2013,South Alabama,41,Tulane,39,6.5
09/07/2013,Oregon,59,Virginia,10,-27.5
09/07/2013,Duke,28,Memphis,14,-4.0
09/07/2013,Syracuse,27,Northwestern,48,17.0
09/07/2013,Navy,41,Indiana,35,12.0
09/07/2013,Southern Miss,13,Nebraska,56,28.5
09/07/2013,Texas,21,Brigham Young,40,-8.5
09/07/2013,U-A-B,17,Louisiana State,56,35.0
09/07/2013,Toledo,23,Missouri,38,14.5
09/07/2013,Colorado State,27,Tulsa,30,13.5
09/07/2013,Arkansas State,9,Auburn,38,10.5
09/07/2013,Army,14,Ball State,40,10.5
09/07/2013,Eastern Michigan,7,Penn State,45,28.5
09/07/2013,Buffalo,13,Baylor,70,30.0
09/07/2013,Bowling Green,41,Kent State,22,-7.5
09/07/2013,Western Kentucky,20,Tennessee,52,14.0
09/07/2013,UL-Lafayette,27,Kansas State,48,13.0
09/07/2013,Notre Dame,30,Michigan,41,6.0
09/07/2013,Hawaii,14,Oregon State,33,27.0
09/07/2013,Minnesota,44,New Mexico State,21,-16.5
09/07/2013,Idaho,10,Wyoming,42,29.5
09/07/2013,New Mexico,42,UTEP,35,7.5
09/07/2013,Washington State,10,Southern Cal,7,16.0
09/07/2013,Arizona,58,Nevada-Las Vegas,13,-13.0
09/07/2013,San Jose State,13,Stanford,34,24.5
09/07/2013,Eastern Kentucky,7,Louisville,44, 
09/07/2013,Indiana State,14,Purdue,20, 
09/07/2013,Norfolk State,0,Rutgers,38, 
09/07/2013,Samford,21,Arkansas,31, 
09/07/2013,S E Louisiana,17,Texas Christian,38, 
09/07/2013,Sam Houston State,28,Texas A+M,65, 
09/07/2013,Missouri State,14,Iowa,28, 
09/07/2013,Tennessee Tech,0,Wisconsin,48, 
09/07/2013,So Carolina State,13,Clemson,52, 
09/07/2013,Western Carolina,3,Virginia Tech,45, 
09/07/2013,Chattanooga,42,Georgia State,14, 
09/07/2013,Maine,24,Massachusetts,14, 
09/07/2013,Weber State,7,Utah,70, 
09/07/2013,New Hampshire,21,Central Michigan,24, 
09/07/2013,Tennessee-Martin,14,Boise State,63, 
09/07/2013,Alcorn State,7,Mississippi State,51, 
09/07/2013,Old Dominion,10,Maryland,47, 
09/07/2013,Portland State,30,California,37, 
09/07/2013,James Madison,33,Akron,35, 
09/07/2013,Richmond,21,No Carolina State,23, 
09/07/2013,Gardner-Webb,0,Marshall,55, 
09/07/2013,Stephen F Austin,13,Texas Tech,61, 
09/07/2013,Grambling,10,UL-Monroe,48, 
